facsubgrp,factype,id,facname,id,facname
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,1265,ACHIEVEMENT FIRST CROWN HEIGHTS,1266,ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL
CHARTER K-12 SCHOOLS,K-12 ALL GRADES SCHOOL - CHARTER,1266,ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,1265,ACHIEVEMENT FIRST CROWN HEIGHTS
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,1271,ACHIEVEMENT FIRST ENDEAVOR CHARTER,1272,ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,1254,ACHIEVEMENT FIRST APOLLO CHARTER,1255,ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL
CHARTER K-12 SCHOOLS,K-8 SCHOOL - CHARTER,1255,ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,1254,ACHIEVEMENT FIRST APOLLO CHARTER
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,1257,ACHIEVEMENT FIRST ASPIRE CHARTER,1258,ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL
CHARTER K-12 SCHOOLS,ELEMENTARY SCHOOL - CHARTER,1258,ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,1257,ACHIEVEMENT FIRST ASPIRE CHARTER
CHARTER K-12 SCHOOLS,K-12 ALL GRADES SCHOOL - CHARTER,1272,ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,1271,ACHIEVEMENT FIRST ENDEAVOR CHARTER
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,1273,ACHIEVEMENT FIRST LINDEN CHARTER SCH,1274,ACHIEVEMENT FIRST LINDEN ELEMENTARY SCHOOL
CHARTER K-12 SCHOOLS,ELEMENTARY SCHOOL - CHARTER,1274,ACHIEVEMENT FIRST LINDEN ELEMENTARY SCHOOL,1273,ACHIEVEMENT FIRST LINDEN CHARTER SCH
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,1275,ACHIEVEMENT FIRST NORTH BROOKLYN PRE,1276,ACHIEVEMENT FIRST NORTH BROOKLYN PREP CHARTER SCHOOL
CHARTER K-12 SCHOOLS,ELEMENTARY SCHOOL - CHARTER,1276,ACHIEVEMENT FIRST NORTH BROOKLYN PREP CHARTER SCHOOL,1275,ACHIEVEMENT FIRST NORTH BROOKLYN PRE
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,1278,ACHIEVEMENT FIRST VOYAGER CHARTER,1279,ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL
CHARTER K-12 SCHOOLS,SECONDARY SCHOOL - CHARTER,1279,ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL,1278,ACHIEVEMENT FIRST VOYAGER CHARTER
CHEMICAL DEPENDENCY,OUTPATIENT CLINIC,1382,ADVANCED HUMAN SERVICES OP,1383,"ADVANCED HUMAN SERVICES, INC. MSW-OP"
CHEMICAL DEPENDENCY,MED SUP WITHDRAWAL - INPATIENT,1333,ADDICTION CARE INTERVENTIONS MSW-IP,1334,ADDICTION CARE INTERVENTIONS OP
CHEMICAL DEPENDENCY,OUTPATIENT CLINIC,1334,ADDICTION CARE INTERVENTIONS OP,1333,ADDICTION CARE INTERVENTIONS MSW-IP
CHEMICAL DEPENDENCY,MED SUP WITHDRAWAL-OUTPATIENT,1383,"ADVANCED HUMAN SERVICES, INC. MSW-OP",1382,ADVANCED HUMAN SERVICES OP
HEALTH PROMOTION AND DISEASE PREVENTION,OUTREACH AND EDUCATION IN SHELTERS,1527,AIDS CENTER OF QUEENS COUNTY INC OUTREACH AND EDUCATION IN SHELTERS,1528,AIDS CENTER OF QUEENS COUNTY INC PREP EDUCATION AT NEEDLE EXCHANGE SITES
DAY CARE,DAY CARE,1478,AHI EZER EARLY CHILDHOOD CORP.,1479,AHI EZER PRESCHOOL
DAY CARE,SCHOOL BASED CHILD CARE - PRESCHOOL,1479,AHI EZER PRESCHOOL,1478,AHI EZER EARLY CHILDHOOD CORP.
HEALTH PROMOTION AND DISEASE PREVENTION,PREP EDUCATION AT NEEDLE EXCHANGE SITES,1528,AIDS CENTER OF QUEENS COUNTY INC PREP EDUCATION AT NEEDLE EXCHANGE SITES,1527,AIDS CENTER OF QUEENS COUNTY INC OUTREACH AND EDUCATION IN SHELTERS
CHEMICAL DEPENDENCY,OUTPATIENT CLINIC,1636,ALCOHOLISM TREATMENT PROGRAM OP,1637,ALCOHOLISM TREATMENT PROGRAM OP R
CHARTER K-12 SCHOOLS,ELEMENTARY SCHOOL - CHARTER,1875,AMBER CHARTER SCHOOL,1876,AMBER CHARTER SCHOOL EAST HARLEM
DAY CARE,DAY CARE,1825,ALPHA KAPPA ALPHA SORORITY,1826,ALPHA KAPPA ALPHA SORORITY EPSILON PI OMEGA CHAPTER DAY CARE CENTER INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES
DAY CARE,EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,1826,ALPHA KAPPA ALPHA SORORITY EPSILON PI OMEGA CHAPTER DAY CARE CENTER INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,1825,ALPHA KAPPA ALPHA SORORITY
SOLID WASTE PROCESSING,RECYCLABLES HANDLING AND RECOVERY,1830,ALPHA RECYCLING INC,1831,"ALPHA RECYCLING, INC."
SOLID WASTE PROCESSING,SCRAP METAL PROCESSING,1831,"ALPHA RECYCLING, INC.",1830,ALPHA RECYCLING INC
CHEMICAL DEPENDENCY,OUTPATIENT REHABILITATION,1637,ALCOHOLISM TREATMENT PROGRAM OP R,1636,ALCOHOLISM TREATMENT PROGRAM OP
PROPRIETARY SCHOOLS,LICENSED PRIVATE SCHOOLS,1760,ALLEN SCHOOL INC,1761,"ALLEN SCHOOL, INC"
PROPRIETARY SCHOOLS,REGISTERED BUSINESS SCHOOLS,1761,"ALLEN SCHOOL, INC",1760,ALLEN SCHOOL INC
SOLID WASTE PROCESSING,SCRAP METAL PROCESSING,1809,ALLOCCO RECYCLING LTD,1810,ALLOCCO RECYCLING LTD (KINGSLAND AVE)
SOLID WASTE PROCESSING,CONSTRUCTION AND DEMOLITION PROCESSING,1810,ALLOCCO RECYCLING LTD (KINGSLAND AVE),1809,ALLOCCO RECYCLING LTD
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,1876,AMBER CHARTER SCHOOL EAST HARLEM,1875,AMBER CHARTER SCHOOL
MUSEUMS,PUBLIC MUSEUMS AND SITES,2066,ANTHROPOLOGY MUSEUM OF THE PEOPLE OF,2067,ANTHROPOLOGY MUSEUM OF THE PEOPLE OF NEW YORK
PROPRIETARY SCHOOLS,REGISTERED BUSINESS SCHOOLS,1908,AMERICAN CAREER CENTER INC,1909,"AMERICAN CAREER CENTER, INC."
PROPRIETARY SCHOOLS,LICENSED PRIVATE SCHOOLS,1909,"AMERICAN CAREER CENTER, INC.",1908,AMERICAN CAREER CENTER INC
MUSEUMS,MUSEUM,2067,ANTHROPOLOGY MUSEUM OF THE PEOPLE OF NEW YORK,2066,ANTHROPOLOGY MUSEUM OF THE PEOPLE OF
"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","OUT OF SCHOOL TIME AFTER-SCHOOL PROGRAMS,SUMMER PROGRAM,SUMMER CAMP",2979,BEDFORD CENTER 1,2980,BEDFORD CENTER 2
"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","IN-SCHOOL YOUTH EMPLOYMENT (ISY) AFTER-SCHOOL PROGRAMS,JOBS & INTERNSHIPS,YOUTH EMPLOYMENT",2336,"ASOCIACIONES DOMINICANAS, INC",2337,"ASOCIACIONES DOMINICANAS, INC - VULNERABLE YOUTH"
"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","SUMMER YOUTH EMPLOYMENT JOBS & INTERNSHIPS,YOUTH EMPLOYMENT",2337,"ASOCIACIONES DOMINICANAS, INC - VULNERABLE YOUTH",2336,"ASOCIACIONES DOMINICANAS, INC"
HEALTH PROMOTION AND DISEASE PREVENTION,GENERAL PREVENTIVE CARE (PC),2394,ASSOCIATION TO BENEFIT CHILDREN GENERAL PREVENTIVE CARE (PC),2395,ASSOCIATION TO BENEFIT CHILDREN PREVENTIVE SERVICES
HEALTH PROMOTION AND DISEASE PREVENTION,PREVENTIVE SERVICES,2395,ASSOCIATION TO BENEFIT CHILDREN PREVENTIVE SERVICES,2394,ASSOCIATION TO BENEFIT CHILDREN GENERAL PREVENTIVE CARE (PC)
NON-PUBLIC K-12 SCHOOLS,ELEMENTARY SCHOOL - NON-PUBLIC,2631,BAIS YAAKOV D'CHASSIDEI GUR,2632,BAIS YAAKOV D'GUR HIGH SCHOOL
NON-PUBLIC K-12 SCHOOLS,HIGH SCHOOL - NON-PUBLIC,2632,BAIS YAAKOV D'GUR HIGH SCHOOL,2631,BAIS YAAKOV D'CHASSIDEI GUR
SENIOR SERVICES,SENIOR SERVICES,2135,ARC XVI FORT WASHINGTON INC,2136,ARC XVI FT WASHINGTON INC TRANSPORTATION ONLY
SENIOR SERVICES,TRANSPORTATION,2136,ARC XVI FT WASHINGTON INC TRANSPORTATION ONLY,2135,ARC XVI FORT WASHINGTON INC
HEALTH PROMOTION AND DISEASE PREVENTION,GENERAL PREVENTIVE CARE (PC),2408,ASTOR SERVICES FOR CHILDREN AND FAMILIES GENERAL PREVENTIVE CARE (PC),2409,ASTOR SERVICES FOR CHILDREN AND FAMILIES PREVENTIVE SERVICES
HEALTH PROMOTION AND DISEASE PREVENTION,PREVENTIVE SERVICES,2409,ASTOR SERVICES FOR CHILDREN AND FAMILIES PREVENTIVE SERVICES,2408,ASTOR SERVICES FOR CHILDREN AND FAMILIES GENERAL PREVENTIVE CARE (PC)
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,2459,ATMOSPHERE ACADEMY PUBLIC CHARTER,2460,ATMOSPHERE CHARTER SCHOOL
CHARTER K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - CHARTER,2460,ATMOSPHERE CHARTER SCHOOL,2459,ATMOSPHERE ACADEMY PUBLIC CHARTER
AFTER-SCHOOL PROGRAMS,AFTERSCHOOL PROGRAMS,2907,BE'ER HAGOLAH INSITUTES INC AFTERSCHOOL PROGRAMS,2908,BE'ER HAGOLAH INSTITUTES
AFTER-SCHOOL PROGRAMS,TEEN ACTION PROGRAM AFTER-SCHOOL PROGRAMS,2908,BE'ER HAGOLAH INSTITUTES,2907,BE'ER HAGOLAH INSITUTES INC AFTERSCHOOL PROGRAMS
"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",OUT OF SCHOOL TIME AFTER-SCHOOL PROGRAMS,2980,BEDFORD CENTER 2,2979,BEDFORD CENTER 1
DAY CARE,DAY CARE,3044,BEIS CHAYA MUSHKA,3045,BEIS CHAYA MUSKA SCHOOL
DAY CARE,SCHOOL BASED CHILD CARE - PRESCHOOL,3045,BEIS CHAYA MUSKA SCHOOL,3044,BEIS CHAYA MUSHKA
MENTAL HEALTH,OUTPATIENT MENTAL HEALTH,3075,BELLEVUE HOSPITAL CENTER CHILD & ADOLESCENT CLINIC,3076,BELLEVUE HOSPITAL CENTER CHILDREN'S CPEP
NON-PUBLIC K-12 SCHOOLS,MIDDLE SCHOOL - NON-PUBLIC,3025,BEER HAGOLAH INST HIGH SCHOOL,3026,BEER HAGOLAH INSTITUTE-ELEM
NON-PUBLIC K-12 SCHOOLS,ELEMENTARY SCHOOL - NON-PUBLIC,3026,BEER HAGOLAH INSTITUTE-ELEM,3025,BEER HAGOLAH INST HIGH SCHOOL
MENTAL HEALTH,EMERGENCY MENTAL HEALTH,3076,BELLEVUE HOSPITAL CENTER CHILDREN'S CPEP,3075,BELLEVUE HOSPITAL CENTER CHILD & ADOLESCENT CLINIC
MENTAL HEALTH,EMERGENCY MENTAL HEALTH,3077,BELLEVUE HOSPITAL CENTER CPEP,3078,BELLEVUE HOSPITAL CENTER INPATIENT TREATMENT PROGRAM
MENTAL HEALTH,INPATIENT MENTAL HEALTH,3078,BELLEVUE HOSPITAL CENTER INPATIENT TREATMENT PROGRAM,3077,BELLEVUE HOSPITAL CENTER CPEP
DAY CARE,EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,3089,BELMONT COMMUNITY DAY CARE CENTER INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,3090,BELMONT COMMUNITY DCC
DAY CARE,DAY CARE,3090,BELMONT COMMUNITY DCC,3089,BELMONT COMMUNITY DAY CARE CENTER INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES
CHEMICAL DEPENDENCY,OUTPATIENT CLINIC,3079,BELLEVUE HOSPITAL CENTER OP,3080,BELLEVUE HOSPITAL CENTER OTP
CHEMICAL DEPENDENCY,OPIOID OUTPATIENT TREATMENT,3080,BELLEVUE HOSPITAL CENTER OTP,3079,BELLEVUE HOSPITAL CENTER OP
DAY CARE,DAY CARE,3490,BLANCHE COMM # 1,3491,BLANCHE COMMUNITY PROGRESS DAY CARE CENTER INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES
MENTAL HEALTH,OUTPATIENT MENTAL HEALTH,3239,BETH ISRAEL MEDICAL CENTER CHILD OUTPATIENT DEPARTMENT,3240,BETH ISRAEL MEDICAL CENTER CPEP CRISIS INTERVENTION
MENTAL HEALTH,SUPPORT MENTAL HEALTH,3240,BETH ISRAEL MEDICAL CENTER CPEP CRISIS INTERVENTION,3239,BETH ISRAEL MEDICAL CENTER CHILD OUTPATIENT DEPARTMENT
DAY CARE,EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,3491,BLANCHE COMMUNITY PROGRESS DAY CARE CENTER INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,3490,BLANCHE COMM # 1
CHEMICAL DEPENDENCY,MEDICALLY MONITORED WITHDRAWAL CHEMICAL DEPENDENCY,3775,BOWERY RESIDENTS' COMMITTEE INC MEDICALLY SUPERVISED OUTPATIENT,3776,BOWERY RESIDENTS' COMMITTEE INC MEDICALLY SUPERVISED WITHDRAWAL SERVICES-RESIDENTIAL
HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,3671,BOOM! HEALTH,3672,BOOM!HEALTH CHECK HEP C [574]
HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,3672,BOOM!HEALTH CHECK HEP C [574],3671,BOOM! HEALTH
CHEMICAL DEPENDENCY,820 RESIDENTIAL REHABILITATION CHEMICAL DEPENDENCY,3776,BOWERY RESIDENTS' COMMITTEE INC MEDICALLY SUPERVISED WITHDRAWAL SERVICES-RESIDENTIAL,3775,BOWERY RESIDENTS' COMMITTEE INC MEDICALLY SUPERVISED OUTPATIENT
CHEMICAL DEPENDENCY,MED SUP WITHDRAWAL - INPATIENT,3778,BOWERY RESIDENTS' COMMITTEE INC MSW-IP,3779,BOWERY RESIDENTS' COMMITTEE SRH
CHEMICAL DEPENDENCY,820 STABIL AND REHAB,3779,BOWERY RESIDENTS' COMMITTEE SRH,3778,BOWERY RESIDENTS' COMMITTEE INC MSW-IP
CHEMICAL DEPENDENCY,MED SUP WITHDRAWAL - INPATIENT,4397,BRONXCARE ADDICTIONS DETOX PROG MSW-IP,4398,BRONXCARE ADDICTIONS REHAB PROG IP
HEALTH PROMOTION AND DISEASE PREVENTION,SUPPORT MENTAL HEALTH,3926,BRIDGING ACCESS TO CARE INC EARLY INTERVENTION SERVICES: SOCIAL NETWORK STRATEGY TESTING IN NON-CLINICAL SETTINGS,3927,BRIDGING ACCESS TO CARE INC FAITH-BASED INITIATIVE
HEALTH PROMOTION AND DISEASE PREVENTION,HARM REDUCTION CENTER,3927,BRIDGING ACCESS TO CARE INC FAITH-BASED INITIATIVE,3928,BRIDGING ACCESS TO CARE INC HARM REDUCTION SERVICES
HEALTH PROMOTION AND DISEASE PREVENTION,HARM REDUCTION CENTER,3927,BRIDGING ACCESS TO CARE INC FAITH-BASED INITIATIVE,3926,BRIDGING ACCESS TO CARE INC EARLY INTERVENTION SERVICES: SOCIAL NETWORK STRATEGY TESTING IN NON-CLINICAL SETTINGS
HEALTH PROMOTION AND DISEASE PREVENTION,HARM REDUCTION SERVICES,3928,BRIDGING ACCESS TO CARE INC HARM REDUCTION SERVICES,3927,BRIDGING ACCESS TO CARE INC FAITH-BASED INITIATIVE
CHARTER K-12 SCHOOLS,ELEMENTARY SCHOOL - CHARTER,4035,BRILLA COLLEGE PREP CHARTER SCHOOL,4036,BRILLA PAX CHARTER SCHOOL
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,4036,BRILLA PAX CHARTER SCHOOL,4035,BRILLA COLLEGE PREP CHARTER SCHOOL
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,4140,BRONX ACADEMY OF PROMISE CHARTER SCH,4141,BRONX ACADEMY OF PROMISE CHARTER SCHOOL
CHARTER K-12 SCHOOLS,K-8 SCHOOL - CHARTER,4141,BRONX ACADEMY OF PROMISE CHARTER SCHOOL,4140,BRONX ACADEMY OF PROMISE CHARTER SCH
CHEMICAL DEPENDENCY,INPATIENT REHABILITATION,4398,BRONXCARE ADDICTIONS REHAB PROG IP,4397,BRONXCARE ADDICTIONS DETOX PROG MSW-IP
DAY CARE,EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,4662,BROOKLYN DEVELOPMENT CENTER EARLY CHILDHOOD SERVICES INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,4663,BROOKLYN DEVELOPMENTAL CTR
MENTAL HEALTH,EMERGENCY MENTAL HEALTH,4483,BROOKDALE HOSPITAL - CPEP,4484,BROOKDALE HOSPITAL CMHC ADULT CLINIC
MENTAL HEALTH,OUTPATIENT MENTAL HEALTH,4484,BROOKDALE HOSPITAL CMHC ADULT CLINIC,4483,BROOKDALE HOSPITAL - CPEP
DAY CARE,DAY CARE,4663,BROOKLYN DEVELOPMENTAL CTR,4662,BROOKLYN DEVELOPMENT CENTER EARLY CHILDHOOD SERVICES INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,4922,BROOME ST ACADEMY CHARTER HIGH SCHOO,4923,BROOME STREET ACADEMY CHARTER SCHOOL
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,4754,BROOKLYN LABORATORY CHARTER SCHOOL,4755,BROOKLYN LAB CHARTER SCHOOL
CHARTER K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - CHARTER,4755,BROOKLYN LAB CHARTER SCHOOL,4754,BROOKLYN LABORATORY CHARTER SCHOOL
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,4821,BROOKLYN PROSPECT CHARTER -CSD 15.2,4822,BROOKLYN PROSPECT CHARTER SCHOOL
CHARTER K-12 SCHOOLS,K-12 ALL GRADES SCHOOL - CHARTER,4822,BROOKLYN PROSPECT CHARTER SCHOOL,4821,BROOKLYN PROSPECT CHARTER -CSD 15.2
CHARTER K-12 SCHOOLS,HIGH SCHOOL - CHARTER,4923,BROOME STREET ACADEMY CHARTER SCHOOL,4922,BROOME ST ACADEMY CHARTER HIGH SCHOO
HEALTH PROMOTION AND DISEASE PREVENTION,OUTREACH AND EDUCATION IN CBOS,5315,CAMBA INC OUTREACH AND EDUCATION IN CBOS,5316,CAMBA INC OUTREACH AND STATUS NEUTRAL PREVENTION AND CARE NAVIGATION IN BROOKLYN
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,4941,BROWNSVILLE COLLEGIATE CHARTER SCH,4942,BROWNSVILLE COLLEGIATE CHARTER SCHOOL
CHARTER K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - CHARTER,4942,BROWNSVILLE COLLEGIATE CHARTER SCHOOL,4941,BROWNSVILLE COLLEGIATE CHARTER SCH
"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","OUT OF SCHOOL TIME AFTER-SCHOOL PROGRAMS,SUMMER PROGRAM,SUMMER CAMP",4944,BROWNSVILLE COMMUNITY CENT,4945,BROWNSVILLE COMMUNITY CENTER
"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",OUT OF SCHOOL TIME AFTER-SCHOOL PROGRAMS,4945,BROWNSVILLE COMMUNITY CENTER,4944,BROWNSVILLE COMMUNITY CENT
"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","OUT OF SCHOOL TIME AFTER-SCHOOL PROGRAMS,SUMMER PROGRAM,SUMMER CAMP",5219,C.S. 134 GEORGE F. BRISTOW SCH,5220,C.S. 134 GEORGE F. BRISTOW SCHOOL
"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",OUT OF SCHOOL TIME AFTER-SCHOOL PROGRAMS,5220,C.S. 134 GEORGE F. BRISTOW SCHOOL,5219,C.S. 134 GEORGE F. BRISTOW SCH
DAY CARE,EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,5087,BUSHWICK IMPROVEMENT SOCIETY INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,5088,"BUSHWICK IMPROVEMENT SOCIETY, INC."
DAY CARE,DAY CARE,5088,"BUSHWICK IMPROVEMENT SOCIETY, INC.",5087,BUSHWICK IMPROVEMENT SOCIETY INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES
HEALTH PROMOTION AND DISEASE PREVENTION,OUTREACH AND STATUS NEUTRAL PREVENTION AND CARE NAVIGATION IN BROOKLYN,5316,CAMBA INC OUTREACH AND STATUS NEUTRAL PREVENTION AND CARE NAVIGATION IN BROOKLYN,5315,CAMBA INC OUTREACH AND EDUCATION IN CBOS
